system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:06.399545,7,0.0004079,0.0004079,-0.0685967,0.0000000,0.0000000,-0.0001212
2023-01-30 17:45:06.484050,15,0.0005021,0.0003766,-0.0783559,0.0002424,0.0000000,0.0000000
2023-01-30 17:45:06.491789,23,0.0005962,0.0002510,-0.0784814,0.0001818,0.0000000,-0.0000606
2023-01-30 17:45:06.500130,31,0.0004707,0.0001883,-0.0784500,0.0000606,0.0000606,0.0002424
2023-01-30 17:45:06.508326,39,0.0005335,0.0002510,-0.0785441,0.0000606,-0.0001818,0.0000000
2023-01-30 17:45:06.516110,47,0.0005648,0.0003766,-0.0784814,0.0000000,-0.0001212,0.0000606
2023-01-30 17:45:06.523826,55,0.0005021,0.0004707,-0.0785128,0.0000000,-0.0001818,-0.0000606
2023-01-30 17:45:06.531953,63,0.0005021,0.0005648,-0.0783872,0.0000606,-0.0000606,0.0000000
2023-01-30 17:45:06.539837,71,0.0004393,0.0006590,-0.0783245,-0.0000606,-0.0001818,-0.0001212
2023-01-30 17:45:06.548474,79,0.0004707,0.0005648,-0.0784814,0.0001818,-0.0001818,0.0000000
2023-01-30 17:45:06.555904,87,0.0005335,0.0004393,-0.0784186,0.0000606,-0.0000606,0.0000000
2023-01-30 17:45:06.564329,95,0.0004707,0.0004079,-0.0785441,0.0001818,-0.0001212,0.0001212
2023-01-30 17:45:06.572340,103,0.0004079,0.0003138,-0.0784186,-0.0001212,-0.0001818,0.0000606
2023-01-30 17:45:06.579995,111,0.0004079,0.0004393,-0.0784814,-0.0000606,-0.0000606,0.0001212
2023-01-30 17:45:06.588207,119,0.0004079,0.0004393,-0.0783872,0.0000606,0.0000000,-0.0001212
2023-01-30 17:45:06.595831,127,0.0004707,0.0004393,-0.0784500,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:06.604002,135,0.0004707,0.0005335,-0.0783872,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:06.611912,143,0.0005021,0.0004707,-0.0785441,-0.0000606,-0.0000606,-0.0001212
2023-01-30 17:45:06.620005,151,0.0005021,0.0005021,-0.0784186,0.0000606,0.0000000,-0.0001212
2023-01-30 17:45:06.627859,159,0.0005335,0.0005648,-0.0785128,0.0001818,0.0001212,-0.0000606
2023-01-30 17:45:06.635934,167,0.0005648,0.0003138,-0.0783872,0.0002424,0.0000606,-0.0000606
2023-01-30 17:45:06.643848,175,0.0005335,0.0003138,-0.0783559,0.0002424,-0.0000606,0.0000000
2023-01-30 17:45:06.651863,183,0.0004707,0.0002510,-0.0783872,0.0001818,-0.0001818,0.0000606
2023-01-30 17:45:06.659923,191,0.0004707,0.0001569,-0.0784500,0.0000606,-0.0000606,0.0001212
2023-01-30 17:45:06.667961,199,0.0005021,0.0003138,-0.0785441,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:06.675890,207,0.0005335,0.0003766,-0.0784814,-0.0000606,-0.0001818,0.0000000
2023-01-30 17:45:06.683915,215,0.0004393,0.0005335,-0.0784814,0.0000000,-0.0000606,-0.0001818
2023-01-30 17:45:06.691943,223,0.0005021,0.0005648,-0.0784814,-0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:06.699918,231,0.0005021,0.0006590,-0.0784186,0.0000606,-0.0000606,0.0000000
2023-01-30 17:45:06.707855,239,0.0004707,0.0005962,-0.0785128,0.0002424,-0.0001212,0.0000606
2023-01-30 17:45:06.715849,247,0.0004707,0.0005021,-0.0784500,0.0003031,-0.0001212,0.0000000
2023-01-30 17:45:06.723838,255,0.0004707,0.0004079,-0.0784186,0.0001818,-0.0002424,0.0000606
2023-01-30 17:45:06.731906,263,0.0004079,0.0003452,-0.0784186,0.0001818,0.0000000,0.0000606
2023-01-30 17:45:06.739813,271,0.0003138,0.0002197,-0.0783559,0.0001818,-0.0000606,0.0000000
2023-01-30 17:45:06.747889,279,0.0004393,0.0002197,-0.0784500,0.0001212,0.0000606,0.0000000
2023-01-30 17:45:06.755840,287,0.0004393,0.0003138,-0.0784500,0.0000606,0.0000606,0.0000000
2023-01-30 17:45:06.763828,295,0.0004079,0.0004079,-0.0785128,0.0000000,0.0000000,-0.0001212
2023-01-30 17:45:06.771755,303,0.0004707,0.0005648,-0.0785128,0.0001818,0.0000606,-0.0000606
2023-01-30 17:45:06.779877,311,0.0005335,0.0006904,-0.0785128,0.0000606,0.0001212,0.0000000
2023-01-30 17:45:06.787970,319,0.0005335,0.0006276,-0.0784500,0.0001212,-0.0000606,-0.0001212
2023-01-30 17:45:06.795868,327,0.0005648,0.0005021,-0.0784186,0.0001818,0.0000000,0.0000000
2023-01-30 17:45:06.803707,335,0.0005648,0.0003452,-0.0783872,0.0001818,0.0000000,0.0000606
2023-01-30 17:45:06.811918,343,0.0005335,0.0001569,-0.0785128,0.0001818,-0.0000606,0.0001212
2023-01-30 17:45:06.819844,351,0.0005021,0.0001255,-0.0784814,0.0000000,0.0000606,0.0000606
2023-01-30 17:45:06.827750,359,0.0004393,0.0001883,-0.0784814,0.0000606,-0.0001212,0.0000606
2023-01-30 17:45:06.835890,367,0.0004707,0.0003766,-0.0784500,0.0000000,-0.0002424,-0.0000606
2023-01-30 17:45:06.843901,375,0.0004707,0.0005021,-0.0784814,0.0000606,-0.0002424,-0.0001212
2023-01-30 17:45:06.851926,383,0.0005021,0.0006590,-0.0783559,0.0001212,-0.0001212,-0.0001818
2023-01-30 17:45:06.859961,391,0.0004707,0.0006590,-0.0783559,0.0000000,0.0000000,-0.0000606
2023-01-30 17:45:06.867894,399,0.0004393,0.0005962,-0.0785441,0.0001212,-0.0001818,0.0001212
2023-01-30 17:45:06.875944,407,0.0005021,0.0005335,-0.0785128,0.0000606,0.0000606,0.0000606
2023-01-30 17:45:06.883916,415,0.0004393,0.0003766,-0.0785128,0.0001212,0.0000000,0.0000606
2023-01-30 17:45:06.891925,423,0.0003452,0.0004079,-0.0783872,0.0000606,0.0000606,0.0000606
2023-01-30 17:45:06.899940,431,0.0004079,0.0002824,-0.0784500,0.0001818,0.0001818,0.0000000
2023-01-30 17:45:06.907947,439,0.0004707,0.0002824,-0.0784186,0.0000606,0.0000606,0.0000000
2023-01-30 17:45:06.915989,447,0.0004707,0.0003452,-0.0785128,0.0000606,0.0000606,-0.0000606
2023-01-30 17:45:06.923979,455,0.0005021,0.0004393,-0.0784500,-0.0000606,0.0000000,-0.0001818
2023-01-30 17:45:06.932044,463,0.0004707,0.0005962,-0.0784814,0.0000000,0.0001212,0.0000000
2023-01-30 17:45:06.939773,471,0.0005335,0.0005648,-0.0784186,0.0000606,0.0000000,0.0000000
2023-01-30 17:45:06.947804,479,0.0005962,0.0005962,-0.0784500,0.0000606,0.0000000,0.0000000
2023-01-30 17:45:06.955771,487,0.0005962,0.0004707,-0.0784186,0.0002424,-0.0000606,0.0000000
2023-01-30 17:45:06.963806,495,0.0005021,0.0003452,-0.0784186,0.0000000,0.0000606,0.0000606
2023-01-30 17:45:06.971837,503,0.0004707,0.0003138,-0.0784814,0.0003031,-0.0001818,0.0000000
2023-01-30 17:45:06.979858,511,0.0004393,0.0002824,-0.0783872,0.0000606,-0.0001818,0.0000000
2023-01-30 17:45:06.987869,519,0.0004707,0.0002197,-0.0785128,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:06.995796,527,0.0005021,0.0002510,-0.0784500,0.0000606,-0.0000606,-0.0001212
2023-01-30 17:45:07.003916,535,0.0004079,0.0003452,-0.0783872,0.0001212,-0.0001212,-0.0001212
2023-01-30 17:45:07.011942,543,0.0004079,0.0005021,-0.0784814,0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:07.019900,551,0.0004393,0.0006276,-0.0784814,0.0000000,-0.0001212,0.0000000
2023-01-30 17:45:07.027735,559,0.0004393,0.0006276,-0.0784500,0.0000606,0.0000000,0.0000606
2023-01-30 17:45:07.035818,567,0.0004393,0.0006590,-0.0784186,0.0000000,0.0000606,0.0000000
2023-01-30 17:45:07.043679,575,0.0004393,0.0005962,-0.0783872,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:07.051857,583,0.0005021,0.0004707,-0.0784500,0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.059854,591,0.0004707,0.0002824,-0.0783872,0.0003637,0.0001818,-0.0000606
2023-01-30 17:45:07.067929,599,0.0004393,0.0002510,-0.0784500,0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.075885,607,0.0005021,0.0001883,-0.0785441,0.0002424,0.0000000,-0.0001212
