system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-04-07 03:04:57.234778,21732,0.0001883,0.0010355,-0.0780107,0.0006667,-0.0006667,0.0000000
2023-04-07 03:04:57.241715,21740,0.0001883,0.0009414,-0.0786383,-0.0001818,-0.0006667,0.0000606
2023-04-07 03:04:57.249846,21748,0.0002197,0.0005962,-0.0788266,-0.0011516,-0.0001818,-0.0000606
2023-04-07 03:04:57.257961,21756,0.0003766,0.0009100,-0.0779479,0.0010910,0.0000606,0.0001818
2023-04-07 03:04:57.265687,21764,-0.0000314,0.0005962,-0.0784814,0.0000606,-0.0002424,0.0003031
2023-04-07 03:04:57.273830,21772,-0.0000314,0.0007217,-0.0781048,-0.0000606,-0.0002424,0.0001212
2023-04-07 03:04:57.281937,21780,-0.0001883,0.0006276,-0.0785441,0.0001212,0.0002424,0.0000000
2023-04-07 03:04:57.289761,21788,0.0002510,0.0001255,-0.0785128,0.0000000,0.0006061,-0.0004243
2023-04-07 03:04:57.297678,21796,0.0008159,0.0001255,-0.0781362,0.0001818,0.0002424,-0.0001212
2023-04-07 03:04:57.305729,21804,0.0006276,0.0001883,-0.0785441,-0.0004243,-0.0000606,0.0000000
2023-04-07 03:04:57.313783,21812,0.0003452,0.0003766,-0.0783559,0.0001818,0.0002424,0.0000606
2023-04-07 03:04:57.321667,21820,0.0001255,0.0003766,-0.0787010,-0.0000606,0.0003637,-0.0000606
2023-04-07 03:04:57.329831,21828,0.0002824,0.0005962,-0.0783245,-0.0002424,0.0001818,-0.0002424
2023-04-07 03:04:57.337848,21836,0.0005335,0.0006904,-0.0784186,0.0000606,0.0001212,-0.0002424
2023-04-07 03:04:57.345771,21844,0.0005962,0.0005648,-0.0785128,-0.0000606,0.0003031,-0.0001212
2023-04-07 03:04:57.353841,21852,0.0005962,0.0006276,-0.0786069,0.0002424,0.0001818,0.0000000
2023-04-07 03:04:57.361602,21860,0.0004393,0.0006904,-0.0785128,-0.0001818,0.0000000,-0.0000606
2023-04-07 03:04:57.369768,21868,0.0005335,0.0006904,-0.0783245,0.0000000,-0.0000606,0.0001212
2023-04-07 03:04:57.377712,21876,0.0005021,0.0005962,-0.0784814,0.0003031,-0.0001212,0.0000000
2023-04-07 03:04:57.385687,21884,0.0006904,0.0005335,-0.0786697,0.0001212,-0.0001818,-0.0000606
2023-04-07 03:04:57.393837,21892,0.0008159,0.0004707,-0.0785441,0.0000000,-0.0002424,0.0000606
2023-04-07 03:04:57.401706,21900,0.0005335,0.0005335,-0.0784186,0.0000000,-0.0004243,0.0001212
2023-04-07 03:04:57.409670,21908,0.0002824,0.0005962,-0.0784186,0.0001212,-0.0003637,0.0000606
2023-04-07 03:04:57.417739,21916,0.0003138,0.0005648,-0.0784814,0.0000000,-0.0004243,-0.0001212
2023-04-07 03:04:57.425773,21924,0.0003452,0.0005962,-0.0784814,0.0000000,-0.0004849,-0.0001212
2023-04-07 03:04:57.433782,21932,0.0003138,0.0005962,-0.0783872,0.0000000,-0.0003031,-0.0002424
2023-04-07 03:04:57.441785,21940,0.0001569,0.0006276,-0.0783559,0.0001818,-0.0001818,-0.0000606
2023-04-07 03:04:57.449867,21948,0.0002197,0.0005335,-0.0783559,0.0000606,-0.0001818,-0.0000606
2023-04-07 03:04:57.457855,21956,0.0001255,0.0004393,-0.0784186,0.0001212,-0.0001818,-0.0000606
2023-04-07 03:04:57.465853,21964,0.0001255,0.0005335,-0.0783872,0.0000000,-0.0000606,0.0001212
2023-04-07 03:04:57.473690,21972,0.0002197,0.0004707,-0.0784500,0.0000606,0.0001818,0.0000606
2023-04-07 03:04:57.481647,21980,0.0004079,0.0004393,-0.0785441,0.0000000,0.0001212,0.0000606
2023-04-07 03:04:57.489594,21988,0.0002510,0.0005021,-0.0783872,0.0001212,0.0001212,0.0002424
2023-04-07 03:04:57.497634,21996,0.0001883,0.0005335,-0.0783245,0.0000606,0.0003637,0.0000000
2023-04-07 03:04:57.505602,22004,0.0002824,0.0004707,-0.0783872,0.0001212,0.0003637,-0.0000606
2023-04-07 03:04:57.513744,22012,0.0004393,0.0004707,-0.0783559,-0.0001212,0.0001818,-0.0002424
2023-04-07 03:04:57.521845,22020,0.0005648,0.0005021,-0.0784814,-0.0000606,0.0001212,-0.0001212
2023-04-07 03:04:57.529835,22028,0.0005648,0.0005335,-0.0785128,0.0000606,0.0003031,-0.0001818
2023-04-07 03:04:57.537754,22036,0.0005648,0.0005648,-0.0784500,0.0000000,0.0001212,-0.0000606
2023-04-07 03:04:57.545699,22044,0.0004079,0.0006590,-0.0784500,-0.0000606,0.0001212,-0.0000606
